Story ID,Area,Feature,Role,User Story,Expected Behavior Based On Code,Primary Surface,Source Evidence,Test Evidence,Inventory Status,Test Status,Error Status,Priority,Notes
US-029,Intake specs,Edit accepted spec fields and components,Intake operator,"As an operator, I can correct event date, attendees, service form, menu items, categories, production modes, purchase elements, and recipe overrides.","PATCH /v1/intake/specs/:specId applies field and component updates, re-evaluates readiness, stores spec, and audits.",UI production spec editor; PATCH spec endpoint,backoffice-ui/src/use-production-spec-editor.ts; intake-service/src/routes/work-item-routes.ts,tests/production-spec-edit-update.test.ts; tests/production-spec-edit-persist-action.test.ts; tests/intake-to-production-e2e.test.ts,Inventoried,Not tested,,P1,
US-030,Governance,Finalize intake spec governance,Operations/audit operator,"As an audit operator, I can record a governance finalize event for a spec or change set.","POST finalize requires operations audit role, validates specId/changeSetId, logs finalize audit, and returns ok payload.",POST /v1/intake/spec-governance/finalize,intake-service/src/routes/work-item-routes.ts,tests/intake-finalize-access.test.ts; tests/mutating-route-auth-matrix.test.ts,Inventoried,Not tested,,P2,
US-031,Production intake,Submit production request text,Production operator,"As a production operator, I can enter free text and create a production-ready spec through intake.",Production text action calls intake normalize and focuses returned accepted spec id.,UI /produktion text input,backoffice-ui/src/production-text-intake-submit-action.ts; backoffice-ui/src/api.ts; intake-service/src/app.ts,tests/production-text-intake-submit-action.test.ts; tests/backoffice-internal-usage-smoke.test.ts,Inventoried,Not tested,,P1,
US-032,Production intake,Create production spec from manual form,Production operator,"As a production operator, I can create an accepted spec with structured fields from production route.",Manual form validates/submits fields through intake manual spec endpoint and focuses returned spec.,UI /produktion manual form,backoffice-ui/src/production-manual-spec-input.ts; backoffice-ui/src/use-production-manual-spec-form.ts; intake-service/src/app.ts,tests/production-manual-spec-input.test.ts; tests/production-manual-spec-submit-action.test.ts,Inventoried,Not tested,,P1,
US-033,Production upload,Upload source document with progress state,Production operator,"As a production operator, I can upload a source document and see loading/progress/success/failure state.","Document upload actions start progress, submit multipart document, complete with accepted spec id, or keep failed file retryable.",UI /produktion upload,backoffice-ui/src/use-production-document-progress.ts; backoffice-ui/src/production-document-upload-start.ts; backoffice-ui/src/production-document-submit-action.ts; backoffice-ui/src/production-document-failure-reset.ts,tests/production-document-upload-start.test.ts; tests/production-document-submit-action.test.ts; tests/production-document-failure-reset.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-034,Production upload,Choose intake document channel,Production operator,"As a production operator, I can choose whether an upload is PDF, email, or text intake.",Document channel state exposes supported channel options and sends channel to intake upload.,UI /produktion upload channel,backoffice-ui/src/production-document-channel.ts; backoffice-ui/src/use-production-intake-draft.ts,tests/production-document-channel.test.ts; tests/production-source-input-state.test.ts,Inventoried,Not tested,,P2,
US-035,Production upload,Drag and drop source file,Production operator,"As a production operator, I can drag a source file onto the production route.","Window file drop is scoped to production route, sets file draft, and tracks drag state.",UI /produktion drag/drop,backoffice-ui/src/use-production-window-file-drop.ts; backoffice-ui/src/production-window-drag-state.ts; backoffice-ui/src/production-window-file-actions.ts,tests/use-production-window-file-drop.test.ts; tests/production-window-drag-state.test.ts; tests/production-window-file-actions.test.ts,Inventoried,Not tested,,P2,
US-036,Production upload,Display upload limit and validation errors,Production operator,"As a production operator, I can see why an upload failed.","Upload errors are formatted from server response and kept visible in the workbench, including size/metadata validation failures.",UI /produktion upload,backoffice-ui/src/production-document-upload-limit.ts; backoffice-ui/src/submit-error-message.ts; shared-core/src/upload-security.ts,tests/backoffice-route-smoke.test.ts; tests/upload-security.test.ts,Inventoried,Not tested,,P1,
US-037,Production focus,Search/filter production records,Production operator,"As a production operator, I can search and narrow specs, plans, recipes, and audit context.",Search text filters dashboard records and route state keeps focused/current artifacts scoped.,UI /produktion filter panel,backoffice-ui/src/production-route-filter-panel.tsx; backoffice-ui/src/production-route-filter-state.ts; backoffice-ui/src/app-dashboard-selectors.ts,tests/production-route-filter-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-038,Production focus,Switch focused spec safely,Production operator,"As a production operator, I can switch between specs without stale questions or artifacts leaking.","Focus state chooses selected/search/current spec and resets stale intake detail, question state, and artifact context.",UI /produktion,backoffice-ui/src/production-focus-state.ts; backoffice-ui/src/production-route-view-state.ts; backoffice-ui/src/production-artifact-selection-app-boundary.ts,tests/production-route-view-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-039,Production origin,View intake origin and source metadata,Production operator,"As a production operator, I can see where the focused spec came from and whether ingestion had warnings.","Origin card resolves request detail, source lineage, filename, ingestion status, and warning summary.",UI production intake origin card,backoffice-ui/src/production-intake-origin-card.tsx; backoffice-ui/src/production-intake-origin-card-state.ts; backoffice-ui/src/use-production-intake-request-detail.ts,tests/production-intake-origin-card-state.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-040,Production workspace,Clear active workspace without deleting data,Production operator,"As a production operator, I can clear current workspace focus without deleting plans or lists.","Workspace reset clears selected focus/state, disables clear when no context exists, and leaves stored objects as archived/non-current context.",UI /produktion reset action,backoffice-ui/src/production-workspace-reset.ts; backoffice-ui/src/production-workspace-action-state.ts; backoffice-ui/src/production-workspace-reset-callbacks.ts,tests/production-workspace-reset.test.ts; tests/production-workspace-action-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-041,Clarifications,See open and answered clarification questions,Production operator,"As a production operator, I can see outstanding and answered clarification questions for a spec.","Question panel builds open/answered status, grouped conversation projection, and read-only anchors for answered items.",UI /produktion question panel,backoffice-ui/src/production-question-panel.tsx; backoffice-ui/src/production-conversation-state.ts; shared-core/src/production-clarification.ts,tests/production-question-panel-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts; tests/pa25-clarification-answered-status-anchor.test.ts,Inventoried,Not tested,,P1,
US-042,Clarifications,Answer clarification questions,Production operator,"As a production operator, I can submit structured answers to open clarification questions.","Question actions build answer payloads, persist answers, update status, and prevent duplicate reopen while editor is open.",UI /produktion question editor,backoffice-ui/src/production-question-editor-state.ts; backoffice-ui/src/production-question-panel-action-state.ts; shared-core/src/production-clarification.ts,tests/production-question-editor-state.test.ts; tests/pa23-clarification-answer-runtime-minimal.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-043,Clarifications,Auto-open relevant question editor,Production operator,"As a production operator, I can have the question editor open automatically when a spec needs answers.",Auto-open state is route-scoped and avoids reopening already focused/answered states.,UI /produktion question editor,backoffice-ui/src/use-production-question-auto-open.ts; backoffice-ui/src/production-question-auto-open-state.ts,tests/use-production-question-auto-open.test.ts; tests/production-question-auto-open-state.test.ts,Inventoried,Not tested,,P2,
US-044,AI drafts,Generate and review KI clarification drafts,Production operator,"As a production operator, I can generate draft clarification questions and approve or reject them before they become product questions.","Draft route builds schema-backed input, validates provider output, persists pending_review drafts, lists them, and approve materializes questions while reject does not.",UI flag VITE_SHOW_LLM_DRAFTS; production draft endpoints,backoffice-ui/src/production-clarification-draft-panel.tsx; production-service/src/routes/artifact-routes.ts; shared-core/src/byo-llm-runtime.ts,tests/byo-llm-runtime-clarification-drafts.test.ts; tests/codex-cli-byo-provider.test.ts,Inventoried,Not tested,,P2,
US-045,Spec editing,Edit event facts and menu items,Production operator,"As a production operator, I can edit event type/date/attendees/service form/menu items before planning.","Spec editor snapshots current spec, tracks dirty state, builds PATCH input, and persists updates.",UI /produktion spec editor,backoffice-ui/src/use-production-spec-editor.ts; backoffice-ui/src/production-spec-edit-snapshot.ts; backoffice-ui/src/production-spec-save-action.ts,tests/production-spec-edit-snapshot.test.ts; tests/production-spec-save-action.test.ts; tests/production-spec-edit-persist-action.test.ts,Inventoried,Not tested,,P1,
US-046,Component editing,Classify menu components and production mode,Production operator,"As a production operator, I can classify each menu component as classic/vegetarian/vegan and scratch/hybrid/purchase/external.","Component fields update component state and PATCH body with menuCategory, productionMode, purchasedElements, notes, and recipeOverrideId.",UI component answer cards,backoffice-ui/src/production-component-classification-fields.tsx; backoffice-ui/src/production-component-detail-fields.tsx; intake-service/src/routes/work-item-routes.ts,tests/production-component-classification-fields.test.ts; tests/production-component-detail-fields.test.ts; tests/production-component-answer-card.test.ts,Inventoried,Not tested,,P1,
US-047,Recipe override,Assign specific recipe to a component,Production operator,"As a production operator, I can assign a known recipe override to a menu component.",Override select exposes recipe choices and stores recipeOverrideId on component update.,UI component recipe override select,backoffice-ui/src/production-recipe-override-select.tsx; backoffice-ui/src/use-production-spec-editor.ts; intake-service/src/routes/work-item-routes.ts,tests/production-component-answer-card.test.ts; tests/override-recipe-resolution.test.ts,Inventoried,Not tested,,P1,
US-048,Planning,Create production plan and purchase list from accepted spec,Production operator,"As a production operator, I can start calculation and receive a production plan plus purchase list.","POST /v1/production/plans validates spec, builds artifacts, saves plan/list, logs audit, and returns both artifacts.",UI calculate action; POST /v1/production/plans,backoffice-ui/src/production-plan-submission-action.ts; production-service/src/routes/artifact-routes.ts; production-service/src/rules/planning.ts,tests/production-plan-submission-action.test.ts; tests/production-gold-run.test.ts; tests/intake-to-production-e2e.test.ts,Inventoried,Not tested,,P1,
US-049,Planning,Show planning progress and failure state,Production operator,"As a production operator, I can see that plan calculation is running, completed, or failed.","Planning progress state tracks phase, ETA, progress label, focused spec label, success, and failure messages.",UI /produktion planning controls,backoffice-ui/src/use-production-plan-progress.ts; backoffice-ui/src/production-plan-result-state.ts; backoffice-ui/src/production-planning-controls.ts,tests/production-plan-result-state.test.ts; tests/production-planning-controls.test.ts,Inventoried,Not tested,,P2,
US-050,Planning,Handle fallback/blocking plans honestly,Production operator,"As a production operator, I can see when a plan is fallback, blocked, or operationally incomplete.","Planning rules produce readiness, unresolved items, fallback reasons, warnings, and UI status surfaces avoid claiming completion.",UI /produktion plan status,production-service/src/rules/planning.ts; backoffice-ui/src/production-route-status.ts; backoffice-ui/src/production-workbench-output-anchor-state.ts,tests/production-plan-fallbacks.test.ts; tests/backoffice-output-praesentation-smoke.test.ts; tests/planning-readiness.test.ts,Inventoried,Not tested,,P1,
US-051,Planning,Resolve internal recipe candidates,Production operator,"As a production operator, I can get internal recipe matches for menu components.",Recipe discovery scores internal candidates by archetype/category/diet/ingredients and records recipe selections.,Production planning rules,production-service/src/recipe-discovery/service.ts; production-service/src/rules/internal-recipe-selection.ts; shared-core/src/recipe-library.ts,tests/internal-recipe-selection.test.ts; tests/internal-recipe-candidate-resolution.test.ts; tests/production-recipe-alias-parity.test.ts,Inventoried,Not tested,,P1,
US-052,Planning,Use web recipe fallback when enabled,Production operator,"As a production operator, I can get reviewed web fallback candidates when internal recipes are missing and web search is enabled.",Web provider is disabled by default; env flag enables DuckDuckGo provider and web candidate materialization/quality checks.,Production planning recipe discovery,production-service/src/app.ts; production-service/src/recipe-discovery/*,tests/production-web-recipe-search-gate.test.ts; tests/web-recipe-candidate-search.test.ts; tests/web-recipe-candidate-resolution.test.ts,Inventoried,Not tested,,P2,
US-053,Planning,Create procurement items for explicit purchased elements,Production operator,"As a production operator, I can mark components as purchased or hybrid and have procurement items appear in the purchase list.",Planning creates procurement artifacts for purchased elements/external finished items and keeps baker purchase branches explicit.,Production planning rules,production-service/src/rules/procurement-rules.ts; production-service/src/rules/planning-component-readiness-artifacts.ts,tests/planning-procurement-artifacts.test.ts; tests/planning-explicit-procurement-artifacts.test.ts; tests/planning-baker-purchase-artifacts.test.ts,Inventoried,Not tested,,P1,
US-054,Purchase lists,List and open production purchase lists,Production operator,"As a production operator, I can list purchase lists and open a specific list.","GET purchase list endpoints return all lists or one list by id, with 404 for unknown id.",GET /v1/production/purchase-lists; GET /v1/production/purchase-lists/:purchaseListId,production-service/src/routes/artifact-routes.ts; backoffice-ui/src/production-purchase-list-panel.tsx,tests/production-purchase-list-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-055,Purchase lists,Preview current purchase list in UI,Production operator,"As a production operator, I can see key purchase list items, quantities, units, and recipe source labels.","Purchase preview supports canonical and legacy shapes, limits preview rows, and formats source metadata/fallbacks.",UI purchase list panel,backoffice-ui/src/production-purchase-list-preview.ts; backoffice-ui/src/production-purchase-list-panel-state.ts,tests/production-purchase-list-preview.test.ts; tests/production-purchase-list-panel-state.test.ts,Inventoried,Not tested,,P1,
US-056,Purchase lists,Warn about instruction-like purchase items,Production operator,"As a production operator, I can see when old purchase lists look polluted by recipe instructions.","Quality warning detects instruction-like article names, shows examples, and marks them as stale-data warnings.",UI purchase list panel; local check,backoffice-ui/src/production-purchase-list-preview.ts; scripts/check-local-ops.sh,tests/production-purchase-list-preview.test.ts; tests/backoffice-production-acceptance-smoke.test.ts; tests/local-ops-check-contract.test.ts,Inventoried,Not tested,,P2,
US-057,Purchasing,Sort purchasing items by Metro group order,Production operator,"As a production operator, I can receive purchase list items grouped in canonical Metro order.","Purchasing rules sort known Metro groups by canonical order, unknown groups last, and export group labels in German.",Purchase list generation/export,shared-core/src/taxonomies/metro-groups.ts; shared-core/src/rules/purchasing.ts,tests/koepff-recipe-seeds.test.ts; tests/production-folder-export.test.ts,Inventoried,Not tested,,P1,
US-058,Production objects,Separate current and archived artifacts,Production operator,"As a production operator, I can distinguish current plans/purchase lists from older or unrelated artifacts.",Artifact selection and object panel state scope current artifacts to focused spec/selected plan and label archived context separately.,UI production objects panel,backoffice-ui/src/production-artifact-selection-app-boundary.ts; backoffice-ui/src/production-objects-panel-state.ts; backoffice-ui/src/production-route-visible-artifacts.ts,tests/production-route-visible-artifacts.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-059,Production plan,Inspect selected plan details,Production operator,"As a production operator, I can inspect selected plan batches, kitchen sheets, recipe selections, unresolved items, and warnings.","Selected plan state and secondary details render plan context, spec context, and operational detail labels.",UI production plan details,backoffice-ui/src/production-selected-plan-state.ts; backoffice-ui/src/production-plan-secondary-details.tsx; backoffice-ui/src/production-plan-list.tsx,tests/production-selected-plan-state.test.ts; tests/production-plan-secondary-details-state.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-060,Recipe library,View recipe library and review status in production,Production operator,"As a production operator, I can see recipe count, approved/review-required status, and recipe controls.",Recipe panel state computes review counts and library panel renders status and recipe controls.,UI production recipe panel,backoffice-ui/src/production-recipe-library-panel.tsx; backoffice-ui/src/production-recipe-review-state.ts; backoffice-ui/src/production-recipe-status-state.ts,tests/production-recipe-review-state.test.ts; tests/production-recipe-status-state.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-061,Production recipes,Import recipe text in production workflow,Production operator,"As a production operator, I can import recipe text into the production recipe repository.","POST production import-text parses, saves, audits, and returns the recipe.",POST /v1/production/recipes/import-text,production-service/src/routes/recipe-routes.ts; shared-core/src/recipe-library.ts,tests/production-recipe-submission-actions.test.ts; tests/recipe-review-access.test.ts,Inventoried,Not tested,,P2,
US-062,Production recipes,Upload recipe file in production workflow,Production operator,"As a production operator, I can upload a recipe file for extraction and import.","Multipart recipe upload validates file metadata/limits, extracts text, parses recipe, saves, and handles upload errors.",POST /v1/production/recipes/upload,production-service/src/routes/recipe-routes.ts; backoffice-ui/src/use-recipe-upload-draft.ts,tests/use-recipe-upload-draft.test.ts; tests/production-recipe-submission-actions.test.ts; tests/upload-security.test.ts,Inventoried,Not tested,,P2,
US-063,Production recipes,Review recipes in production workflow,Production operator,"As a production operator, I can approve, verify, or reject recipes.","PATCH production recipe review updates approval state, source tier, and audit log.",PATCH /v1/production/recipes/:recipeId/review,production-service/src/routes/recipe-routes.ts; backoffice-ui/src/production-recipe-controls.ts,tests/production-recipe-controls.test.ts; tests/production-recipe-submission-actions.test.ts; tests/recipe-review-access.test.ts,Inventoried,Not tested,,P2,
